================================================================================
Old Branches Report
================================================================================
Generated: 2025-11-12 19:56:01 UTC
Threshold: 1 day(s)

Total old branches: 281

Branches to delete:

  copilot/remove-unnecessary-report-titles                                64d old (last: 2025-09-09)
  copilot/update-solo-mirror-report                                       64d old (last: 2025-09-09)
  chore-restore-env-example                                               63d old (last: 2025-09-09)
  codex/create-netlify_integration.md-for-auth0-troubleshooting           63d old (last: 2025-09-09)
  codex/ensure-glossary-card-consistency                                  63d old (last: 2025-09-09)
  codex/ensure-glossary-card-consistency-yeaqw3                           63d old (last: 2025-09-09)
  copilot/fix-480b0116-bc05-4091-8f0d-6c01ef1257bf                        63d old (last: 2025-09-10)
  copilot/fix-5cc562f4-eabf-4291-bf1d-4780c50038f9                        63d old (last: 2025-09-10)
  copilot/fix-5ea8110a-eb8d-4f71-9cc7-27edf68af253                        63d old (last: 2025-09-10)
  copilot/fix-6b7c5e8d-24f3-4c6d-9db3-ee8c022df31f                        63d old (last: 2025-09-10)
  copilot/fix-6cb4ea92-0a95-4870-ae46-b34b0b81d818                        63d old (last: 2025-09-10)
  copilot/fix-d2649197-c508-48c6-83d0-6b7caa8e47ac                        63d old (last: 2025-09-10)
  copilot/fix-ff65a0d7-ec2c-4f2c-8f65-dde6d49d3d9f                        63d old (last: 2025-09-10)
  copilot/fix-1da9b008-d12b-4e32-85e0-1dffa74f1edc                        54d old (last: 2025-09-19)
  copilot/fix-95                                                          54d old (last: 2025-09-19)
  copilot/fix-97                                                          54d old (last: 2025-09-19)
  feature/full-next-migration                                             54d old (last: 2025-09-18)
  codex/resolve-netlify-deployment-issues                                 53d old (last: 2025-09-19)
  codex/add-button-to-switch-to-math-brain                                52d old (last: 2025-09-21)
  codex/add-guard-for-conversation-intent-in-raven-route                  52d old (last: 2025-09-21)
  codex/add-guard-logic-to-raven-route                                    52d old (last: 2025-09-21)
  codex/add-no-chart/report-guard-to-raven-route                          52d old (last: 2025-09-21)
  codex/add-relocate-both-option-and-contact-toggle                       52d old (last: 2025-09-21)
  codex/adjust-jsx-for-authentication-handling                            52d old (last: 2025-09-20)
  codex/find-gemini-api-usage-for-raven-calder                            52d old (last: 2025-09-21)
  codex/fix-google-login-suppression-for-poetic-brain                     52d old (last: 2025-09-21)
  codex/fix-google-login-suppression-for-poetic-brain-num1aq              52d old (last: 2025-09-21)
  codex/fix-issues-in-reports-structure                                   52d old (last: 2025-09-21)
  codex/fix-issues-in-reports-structure-d1qcoy                            52d old (last: 2025-09-20)
  codex/fix-issues-in-reports-structure-dh2ypx                            52d old (last: 2025-09-20)
  codex/fix-json-report-issues-and-improve-pdf-output                     52d old (last: 2025-09-21)
  codex/fix-json-upload-handling-in-poetic-brain                          52d old (last: 2025-09-21)
  codex/fix-netlify-publish-directory-configuration                       52d old (last: 2025-09-20)
  codex/fix-netlify-publish-directory-configuration-3ow25v                52d old (last: 2025-09-20)
  codex/fix-netlify-publish-directory-configuration-4eb94r                52d old (last: 2025-09-20)
  codex/fix-relocation-dropdown-menu-functionality                        52d old (last: 2025-09-21)
  codex/fix-syntax-error-in-woven-map-composer.js                         52d old (last: 2025-09-21)
  codex/simplify-timezone-normalization-function                          52d old (last: 2025-09-20)
  codex/update-authenabled-case-insensitive-checks                        52d old (last: 2025-09-20)
  codex/extend-detectintent-for-astroseek-responses                       51d old (last: 2025-09-21)
  codex/fix-500-internal-server-error-on-synastry                         51d old (last: 2025-09-21)
  codex/fix-multiple-definitions-and-syntax-errors                        51d old (last: 2025-09-21)
  codex/fix-report-upload-error-in-raven-calder                           51d old (last: 2025-09-21)
  codex/fix-syntax-error-in-chatclient.tsx                                51d old (last: 2025-09-21)
  codex/investigate-navigation-and-report-errors                          51d old (last: 2025-09-21)
  codex/investigate-server-side-500-error                                 51d old (last: 2025-09-22)
  codex/refactor-guard-block-and-add-tests                                51d old (last: 2025-09-21)
  codex/update-json-export-and-guidance-in-routes                         51d old (last: 2025-09-21)
  codex/update-relational-menu-and-fix-date-input                         51d old (last: 2025-09-22)
  codex/update-relocation-options-in-transits-ui                          51d old (last: 2025-09-21)
  codex/fix-poetic-brain-conversation-handling                            50d old (last: 2025-09-22)
  codex/simplify-raven-s-greeting-response                                50d old (last: 2025-09-22)
  codex/update-buildmirrorvoice-for-data-checks                           50d old (last: 2025-09-22)
  codex/add-include-transits-toggle-to-menu                               49d old (last: 2025-09-23)
  codex/clarify-symbolic-weather-constraints                              49d old (last: 2025-09-23)
  codex/enhance-poetic-brain-mobile-chat-experience                       49d old (last: 2025-09-23)
  codex/fix-math-brain-error-on-balance-report                            49d old (last: 2025-09-23)
  codex/fix-report-generation-error                                       49d old (last: 2025-09-23)
  codex/fix-report-generation-error-p06sqz                                49d old (last: 2025-09-24)
  codex/fix-report-issue-with-mirror_ready-flag                           49d old (last: 2025-09-23)
  codex/fix-response-to-engage-astrology-data                             49d old (last: 2025-09-23)
  codex/investigate-frozen-date-range-selection                           49d old (last: 2025-09-23)
  codex/investigate-solo-mirror-options-issue                             49d old (last: 2025-09-23)
  codex/reinstate-report-fetching-for-raven-calder                        49d old (last: 2025-09-23)
  codex/update-guidance-strings-for-json-export                           49d old (last: 2025-09-23)
  codex/widen-no-context-guard-for-astroseek                              49d old (last: 2025-09-23)
  codex/fix-syntax-error-in-wrapupcard.tsx                                47d old (last: 2025-09-26)
  codex/add-version-number-to-front-page                                  46d old (last: 2025-09-27)
  codex/fix-ios-mobile-chat-display-issue                                 46d old (last: 2025-09-27)
  codex/fix-type-error-for-logevent                                       46d old (last: 2025-09-27)
  codex/fix-unknown-deployment-status-message                             46d old (last: 2025-09-27)
  codex/add-reloclabel-parameter-to-extractreportheader                   45d old (last: 2025-09-28)
  codex/fix-import-issue-with-math-brain-session                          45d old (last: 2025-09-28)
  codex/fix-netlify-deploy-failure-due-to-missing-dependencies            45d old (last: 2025-09-28)
  codex/fix-netlify-deploy-module-not-found-error                         45d old (last: 2025-09-28)
  codex/fix-report-self-invalidations-and-readiness-flags                 45d old (last: 2025-09-28)
  codex/fix-syntax-error-in-page.tsx                                      45d old (last: 2025-09-28)
  codex/fix-type-error-in-page.tsx                                        45d old (last: 2025-09-28)
  codex/propose-pdf-report-format-for-users                               45d old (last: 2025-09-27)
  codex/refactor-poeticsnapshotcard-for-bold-markup                       45d old (last: 2025-09-28)
  codex/set-default-date-range-to-today                                   45d old (last: 2025-09-28)
  codex/fix-contract-validation-errors-for-mirrors                        44d old (last: 2025-09-28)
  codex/fix-visibility-issue-in-poetic-brain-chat                         44d old (last: 2025-09-28)
  codex/check-sidereal-chart-support-in-api                               43d old (last: 2025-09-30)
  codex/fix-disappearing-date-picker-in-ios                               43d old (last: 2025-09-30)
  codex/fix-missing-visual-graphs-in-pdf-download                         43d old (last: 2025-09-30)
  codex/add-direct-json-export-alongside-pdf                              41d old (last: 2025-10-02)
  codex/fix-chat-visibility-issue-during-report-pull                      41d old (last: 2025-10-02)
  codex/fix-generate-reports-button-functionality                         41d old (last: 2025-10-01)
  codex/fix-header-label-and-add-resume-button                            41d old (last: 2025-10-01)
  codex/fix-callback-url-mismatch-for-google-login                        40d old (last: 2025-10-03)
  codex/fix-chat-visibility-on-ios-mobile                                 40d old (last: 2025-10-02)
  codex/update-scrolling-behavior-for-mobile                              40d old (last: 2025-10-02)
  codex/verify-api-key-exposure-in-repository                             40d old (last: 2025-10-03)
  copilot/fix-8edd74c6-9619-49c7-9e49-d0c4412b69b2                        39d old (last: 2025-10-04)
  codex/fix-chat-message-clipping-issue                                   37d old (last: 2025-10-06)
  codex/improve-chat-interface-on-ios                                     37d old (last: 2025-10-06)
  codex/improve-chat-ui-for-mobile                                        37d old (last: 2025-10-06)
